name,given_name,surname,pseudonym,country,sex,victims_proven,victims_suspected,years_active,active_from,active_to,country_lat,country_long
Beltrán Dalay Cortes Carvajal,Beltrán,Dalay Cortes Carvajal,,Costa Rica,male,4.0,,1934–1938,1934.0,1938.0,9.748916999999999,-83.753428
Benjamin Tony Atkins,Benjamin,Tony Atkins,Woodward Corridor Killer,United States,male,11.0,,1991–1992,1991.0,1992.0,37.09024,-95.712891
Bernard Eugene Giles,Bernard,Eugene Giles,,United States,male,5.0,,1973,1973.0,1973.0,37.09024,-95.712891
Bernhard Prigan,Bernhard,Prigan,Der Würger; Autobahnmörder,Germany,male,4.0,,1947–1952,1947.0,1952.0,51.165691,10.451526
Bertha Gifford,Bertha,Gifford,,United States,female,3.0,17+,1909–1928,1909.0,1928.0,37.09024,-95.712891
Beverly Gail Allitt,Beverly,Gail Allitt,Angel of Death,United Kingdom,female,4.0,,1991,1991.0,1991.0,55.378051,-3.435973
Billy Lee Chadd,Billy,Lee Chadd,,United States,male,3.0,,1976–1984,1976.0,1984.0,37.09024,-95.712891
Billy Sunday Birt,Billy,Sunday Birt,,United States,male,3.0,3+,1972–1973,1972.0,1973.0,37.09024,-95.712891
Calvin Jackson,Calvin,Jackson,,United States,male,9.0,,1973–1974,1973.0,1974.0,37.09024,-95.712891
Carl Brandt,Carl,Brandt,,United States,male,3.0,6+,1971–2004,1971.0,2004.0,37.09024,-95.712891
Carl Eugene Watts,Carl,Eugene Watts,The Sunday Morning Slasher,United States,male,13.0,85,1974–1982,1974.0,1982.0,37.09024,-95.712891
Carl Großmann,Carl,Großmann,Die Bestie vom Schlesischen Bahnhof,Germany,male,3.0,23 – ca. 100,1918–1921,1918.0,1921.0,51.165691,10.451526
Carl Panzram,Carl,Panzram,,United States,male,4.0,18,1917–1929,1917.0,1929.0,37.09024,-95.712891
Carlton Michael Gary,Carlton,Michael Gary,Stocking Strangler,United States,male,7.0,,1977–1978,1977.0,1978.0,37.09024,-95.712891
Carroll Edward Cole,Carroll,Edward Cole,,United States,male,16.0,,1948–1980,1948.0,1980.0,37.09024,-95.712891
Cary Anthony Stayner,Cary,Anthony Stayner,Yosemite Murderer,United States,male,4.0,,1999,1999.0,1999.0,37.09024,-95.712891
Catherine Wilson,Catherine,Wilson,,United Kingdom,female,1.0,7,1854–1862,1854.0,1862.0,55.378051,-3.435973
Cayetano Santos Godino,Cayetano,Santos Godino,Big Eared Midget,Argentina,male,4.0,,1912,1912.0,1912.0,-38.416097,-63.61667199999999
Cecile Bombeek,Cecile,Bombeek,Schwester Godfrida,Belgium,female,3.0,33,1976–1978,1976.0,1978.0,50.503887,4.469936
Céline Lesage,Céline,Lesage,,France,female,6.0,,2000–2007,2000.0,2007.0,46.227638,2.213749
Cesar Francesco Barone,Cesar,Francesco Barone,,United States,male,4.0,4+,1991–1993,1991.0,1993.0,37.09024,-95.712891
Charles Albanese,Charles,Albanese,,United States,male,3.0,,1980–1981,1980.0,1981.0,37.09024,-95.712891
Charles Albright,Charles,Albright,"Eyeball Killer, Dallas Ripper, Dallas Slasher",United States,male,3.0,,1990–1991,1990.0,1991.0,37.09024,-95.712891
Charles Anthony Boyd,Charles,Anthony Boyd,,United States,male,3.0,,1986–1987,1986.0,1987.0,37.09024,-95.712891
Charles Cullen,Charles,Cullen,,United States,male,35.0,45,1988–2003,1988.0,2003.0,37.09024,-95.712891
Charles Howard Schmid,Charles,Howard Schmid,The Pied Piper of Tucson,United States,male,3.0,4,1964–1965,1964.0,1965.0,37.09024,-95.712891
Charles Ray Hatcher,Charles,Ray Hatcher,,United States,male,16.0,,1969–1982,1969.0,1982.0,37.09024,-95.712891
Charles Raymond Starkweather,Charles,Raymond Starkweather,,United States,male,11.0,,1957–1958,1957.0,1958.0,37.09024,-95.712891
Chester Dewayne Turner,Chester,Dewayne Turner,The Southside Slayer,United States,male,11.0,,1987–1998,1987.0,1998.0,37.09024,-95.712891
Christa Lehmann,Christa,Lehmann,,Germany,female,3.0,,1952–1954,1952.0,1954.0,51.165691,10.451526
Christine Laverne Falling,Christine,Laverne Falling,,United States,female,3.0,6,1980–1982,1980.0,1982.0,37.09024,-95.712891
Christine Malèvre,Christine,Malèvre,,France,female,6.0,31,1997–1998,1997.0,1998.0,46.227638,2.213749
Christman Gniperdoliga,Christman,Gniperdoliga,,Germany,male,,,?–1581,,1581.0,51.165691,10.451526
Christopher Bernard Wilder,Christopher,Bernard Wilder,The Beauty Queen Killer,United States,male,8.0,14,1984,1984.0,1984.0,37.09024,-95.712891
Christopher Dorner,Christopher,Dorner,,United States,male,3.0,,2013,2013.0,2013.0,37.09024,-95.712891
Christopher Mhlengwa Zikode,Christopher,Mhlengwa Zikode,Donnybrook Serial Killer,South Africa,male,18.0,29,?–1997,,1997.0,-30.559482,22.937506
Christopher Peterson,Christopher,Peterson,The Shotgun Killer,United States,male,7.0,,1990,1990.0,1990.0,37.09024,-95.712891
Cleophus Prince,Cleophus,Prince,The Clairemont Killer,United States,male,6.0,,1990,1990.0,1990.0,37.09024,-95.712891
Clifford Robert Olson,Clifford,Robert Olson,,Canada,male,11.0,,1980–1981,1980.0,1981.0,56.130366,-106.346771
Clinton Bankston Jr.,Clinton,Bankston Jr.,,United States,male,5.0,,1987,1987.0,1987.0,37.09024,-95.712891
Colin Ireland,Colin,Ireland,Gay Slayer,United Kingdom,male,5.0,,1993,1993.0,1993.0,55.378051,-3.435973
Curtis Don Brown,Curtis,Don Brown,Bandit,United States,male,3.0,18,1994–1986,1994.0,1986.0,37.09024,-95.712891
Cynthia Lynn Coffman,Cynthia,Lynn Coffman,,United States,female,4.0,,1986,1986.0,1986.0,37.09024,-95.712891
Cypka,Cypka,,,Poland,male,30.0,,1945–1950,1945.0,1950.0,51.919438,19.145136
Dagmar Johanne Amalie Overbye,Dagmar,Johanne Amalie Overbye,,Denmark,female,9.0,25,1913–1920,1913.0,1920.0,56.26392,9.501785
Dale R. Anderson,Dale,R. Anderson,,United States,male,2.0,7+,1978–1988,1978.0,1988.0,37.09024,-95.712891
Dallen Forrest Bounds,Dallen,Forrest Bounds,,United States,male,4.0,,1999,1999.0,1999.0,37.09024,-95.712891
Daniel Camargo Barbosa,Daniel,Camargo Barbosa,,Colombia,male,72.0,150,1974–1986,1974.0,1986.0,4.570868,-74.297333
Daniel Harold Rolling,Daniel,Harold Rolling,The Gainesville Ripper,United States,male,5.0,8,1990,1990.0,1990.0,37.09024,-95.712891
Daniel Joseph Blank,Daniel,Joseph Blank,,United States,male,6.0,,1996–1997,1996.0,1997.0,37.09024,-95.712891
Daniel Lee Corwin,Daniel,Lee Corwin,,United States,male,3.0,,1987,1987.0,1987.0,37.09024,-95.712891
Daniel Owen Conahan,Daniel,Owen Conahan,Hog Trail Murderer,United States,male,5.0,11,1994–1996,1994.0,1996.0,37.09024,-95.712891
Danny Lee Barber,Danny,Lee Barber,,United States,male,4.0,,1978–1980,1978.0,1980.0,37.09024,-95.712891
Danny Paul Bible,Danny,Paul Bible,,United States,male,4.0,,1979–1983,1979.0,1983.0,37.09024,-95.712891
Darja Nikolajewna Saltykowa,Darja,Nikolajewna Saltykowa,Saltytschicha,Russia,female,38.0,139,?–1762,,1762.0,61.52401,105.318756
Darrell Keith Rich,Darrell,Keith Rich,"Young Elk, The Hilltop Rapist",United States,male,4.0,,1978,1978.0,1978.0,37.09024,-95.712891
David Berkowitz,David,Berkowitz,Son of Sam,United States,male,6.0,,1976–1977,1976.0,1977.0,37.09024,-95.712891
David Edward Maust,David,Edward Maust,Crazy Dave,United States,male,5.0,,1974–2003,1974.0,2003.0,37.09024,-95.712891
David Joseph Carpenter,David,Joseph Carpenter,The Trailside Killer,United States,male,7.0,,1979–1981,1979.0,1981.0,37.09024,-95.712891
David Thabo Simelane,David,Thabo Simelane,,Swaziland,male,34.0,63,1998–2001,1998.0,2001.0,-26.522503,31.465866
Dayton Leroy Rogers,Dayton,Leroy Rogers,"The Molalla Forest Murderer, Molalla Forest Killer",United States,male,6.0,,1983–1987,1983.0,1987.0,37.09024,-95.712891
Dean Corll,Dean,Corll,The Candy Man,United States,male,28.0,30,1971–1973,1971.0,1973.0,37.09024,-95.712891
Dean Phillip Carter,Dean,Phillip Carter,,United States,male,5.0,,1984,1984.0,1984.0,37.09024,-95.712891
Della Sorenson,Della,Sorenson,,United States,female,8.0,,1918–1924,1918.0,1924.0,37.09024,-95.712891
Dellmus Charles Colvin,Dellmus,Charles Colvin,,United States,male,7.0,7+,1987–2005,1987.0,2005.0,37.09024,-95.712891
Denise Dianna Buchanan,Denise,Dianna Buchanan,,United States,female,2.0,3,1989–1993,1989.0,1993.0,37.09024,-95.712891
Dennis Andrew Nilsen,Dennis,Andrew Nilsen,"The Muswell Hill Murderer, The Kindly Killer",United Kingdom,male,15.0,,1978–1983,1978.0,1983.0,55.378051,-3.435973
Dennis Lynn Rader,Dennis,Lynn Rader,BTK-Killer,United States,male,10.0,,1974–1991,1974.0,1991.0,37.09024,-95.712891
Derrick Todd Lee,Derrick,Todd Lee,Baton Rouge Serial Killer,United States,male,7.0,10,1992–2003,1992.0,2003.0,37.09024,-95.712891
Detlef S.,Detlef,S.,Parkplatzmörder,Germany,male,2.0,,2010,2010.0,2010.0,51.165691,10.451526
Diana Lumbrera,Diana,Lumbrera,,United States,female,4.0,7,1976–1990,1976.0,1990.0,37.09024,-95.712891
Diane Odell,Diane,Odell,The Babies in Boxes Murder Case,United States,female,5.0,,1982–1985,1982.0,1985.0,37.09024,-95.712891
